depression_weight,suicidal_weight,val_macro_f1
1.4,1.15,0.8208123301843582
1.4,1.25,0.8208000819260263
1.4,1.35,0.8206194809322056
1.45,1.2,0.8203722752621129
1.45,1.3,0.820340713808056
1.4,1.3,0.8203321728326511
1.3,1.15,0.8203263170923747
1.4,1.2,0.8203226173965898
1.35,1.2,0.8203121647403678
1.35,1.25,0.8202256408624838
1.45,1.4,0.8202113724631505
1.35,1.1,0.8201976118284291
1.45,1.25,0.82007193537598
1.35,1.15,0.8200425470127266
1.5,1.35,0.8200413738175613
1.3,1.2,0.8200164032769471
1.4,1.1,0.820012858032871
1.35,1.3,0.8199259371472503
1.5,1.45,0.8198781822739418
1.6,1.3,0.8196988246267001
1.5,1.25,0.8196955454838499
1.45,1.35,0.8196829484179426
1.45,1.15,0.8196597588900749
1.55,1.4,0.8196365167165822
1.3,1.05,0.8196092565119881
1.6,1.45,0.8195884714691306
1.3,1.25,0.8195408679825367
1.3,1.1,0.8195373885872166
1.25,1.15,0.8195083093066637
1.35,1.05,0.8195008979417143
1.4,1.4,0.8194386668967092
1.6,1.35,0.819419948112843
1.5,1.4,0.8194172401178526
1.5,1.3,0.8193754662978117
1.6,1.4,0.8193412043958114
1.55,1.25,0.8193319241690717
1.4,1.45,0.819315330778491
1.4,1.05,0.8193114477648612
1.55,1.3,0.8192777873469974
1.45,1.1,0.819276489991652
1.55,1.5,0.8192676277414465
1.65,1.45,0.819254336213826
1.65,1.4,0.8192135537747423
1.55,1.45,0.8191510223278918
1.4,1.0,0.8191459814410598
1.25,1.1,0.8191243972499826
1.6,1.55,0.8191201477739525
1.35,1.35,0.8191070692557832
1.5,1.15,0.8190706956713968
1.35,1.4,0.8190607578769147
1.65,1.6,0.8190466113552703
1.65,1.35,0.8190427984001835
1.6,1.25,0.8190254697127429
1.6,1.5,0.8189663869565121
1.65,1.5,0.8189663604151259
1.45,1.45,0.8189659023175387
1.5,1.2,0.818964702759717
1.55,1.35,0.8189379068689014
1.7,1.4,0.818898365931338
1.45,1.5,0.8188971428778061
1.3,1.0,0.8188937621702607
1.35,0.95,0.8187725581996811
1.65,1.3,0.8187694493352025
1.3,1.3,0.8187181998873522
1.7,1.5,0.8186721987836245
1.25,1.05,0.8186675492749055
1.25,1.2,0.818648633832339
1.55,1.2,0.8186371114605411
1.2,1.1,0.818621810159236
1.5,1.05,0.8185921225972521
1.35,1.0,0.8185885124700771
1.4,1.5,0.8185813703704596
1.6,1.2,0.8185372311954999
1.45,1.05,0.8185247962036977
1.5,1.5,0.8184960232099356
1.65,1.25,0.8184930101317658
1.35,1.45,0.8184509259845458
1.3,1.35,0.8184279283200822
1.6,1.15,0.8183768812779343
1.7,1.45,0.81837199343512
1.55,1.1,0.8183359808277663
1.7,1.65,0.8182811658123755
1.5,1.55,0.8182756167502518
1.6,1.65,0.8182303644657598
1.7,1.55,0.8182298598782215
1.65,1.55,0.8181908275745654
1.05,0.95,0.8181550287107601
1.55,1.15,0.8181474564654417
1.7,1.35,0.8181353049081899
1.3,1.4,0.8180722869645147
1.2,1.15,0.8180718301873835
1.05,1.0,0.8179835947624174
1.15,1.05,0.8179680897791449
1.2,1.05,0.8179465061641502
1.65,1.15,0.8179133576313253
1.15,1.1,0.817898339952052
1.7,1.2,0.8178976108675122
1.15,0.95,0.817894747476076
1.6,1.6,0.817893809403633
1.05,0.9,0.8178727813648018
1.1,1.05,0.8178681281634365
1.7,1.3,0.817863107786674
1.5,1.1,0.8178622506394141
1.2,1.0,0.8178527385384085
1.25,1.25,0.8178221476134225
1.45,1.55,0.8178214291134798
1.55,1.6,0.8178171572564754
1.65,1.2,0.8177913228014584
1.0,0.9,0.8177762731673893
1.55,1.55,0.8177336583305619
1.1,1.0,0.817712533328345
1.25,0.95,0.8177116438351169
