C,val_accuracy,val_macro_f1,val_weighted_f1,train_time_sec,val_infer_time_total_sec,val_infer_time_avg_sec_per_sample
0.25,0.8086182480275137,0.7981149246271275,0.8060555903989945,1052.004951076,0.026161118000345596,5.292558770047663e-06
0.5,0.808415941735788,0.7978174571279171,0.8062492881806274,1002.3879896240005,0.033498810000310186,6.777020028385634e-06
0.1,0.8055836536516285,0.7937264022619098,0.8024001034731827,1117.578208898,0.058826783999847976,1.1901028525156378e-05
1.0,0.8027513655674692,0.7911416535419901,0.8008664740630057,932.409540783,0.035445256999992125,7.170798502931848e-06
2.0,0.7962775642322476,0.7838462972179983,0.7946254147278203,882.2955645830007,0.0399936149997302,8.090959943299655e-06
5.0,0.7910176006473801,0.7783662611757012,0.7894834545058771,875.3010663589994,0.03208233300028951,6.490457819196745e-06
