n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,config_id,best_iteration,val_accuracy,val_macro_f1,val_weighted_f1,train_time_sec,val_infer_time_total_sec,val_infer_time_avg_sec_per_sample
800,0.03,31,-1,30,0.8,0.8,2,665,0.8195427877807,0.8099953872112703,0.81852921129779,4454.806661879999,2.0836762039998575,0.0004215408059882374
500,0.05,63,-1,20,0.8,0.8,1,231,0.8181266437386203,0.8074355342797799,0.8169848958510164,3475.243099236,0.8266202390004764,0.00016723047521757564
